src,tgt,length_km,path_nodes_count,decision,blocker_tolerance_m,debug_search_radius_m,nearest_internal_substation_id,nearest_internal_substation_name,nearest_internal_distance_to_path_m,nearest_internal_distance_along_path_m,path_length_km,within_blocker_tolerance
304073,306369,34.04189426368978,219,accepted,300.0,1000.0,300232,CENTER,459.9691419036726,18721.66503184689,34.04189426368978,False
306369,308269,34.016803156999444,226,accepted,300.0,1000.0,300232,CENTER,459.9691419036726,18721.66503184689,34.016803156999444,False
306369,306450,35.523264959057705,262,accepted,300.0,1000.0,300232,CENTER,459.9691419036726,18721.66503184689,35.523264959057705,False
300105,306369,39.31245846907839,259,blocked_by_near_substation,300.0,1000.0,306279,OLINDA,114.7944424666183,28895.870017928974,39.31245846907839,True
306060,306224,20.103862349481375,152,accepted,300.0,1000.0,,,,,20.103862349481375,False
303169,306060,11.319874941181215,68,accepted,300.0,1000.0,,,,,11.319874941181215,False
301541,306060,8.272321871480873,47,accepted,300.0,1000.0,,,,,8.272321871480873,False
306060,308806,27.590897752700133,177,accepted,300.0,1000.0,303169,LIGHTPIPE,980.2882903987321,10395.36087857027,27.590897752700133,False
306060,308907,8.57114989972729,49,accepted,300.0,1000.0,,,,,8.57114989972729,False
306060,306279,27.168488599117985,197,accepted,300.0,1000.0,,,,,27.168488599117985,False
300408,306060,25.041954113242497,155,blocked_by_near_substation,300.0,1000.0,300105,WALNUT,193.8184176191819,23183.37845153257,25.041954113242497,True
301614,306060,7.022388201312523,53,accepted,300.0,1000.0,,,,,7.022388201312523,False
302798,306060,11.934602047468276,93,accepted,300.0,1000.0,,,,,11.934602047468276,False
305984,306060,24.883714008960492,122,blocked_by_near_substation,300.0,1000.0,307564,JOSE,43.330792141920675,15809.046981236928,24.883714008960492,True
304073,306060,12.83109927540137,75,accepted,300.0,1000.0,,,,,12.83109927540137,False
306060,308269,7.610294323330248,39,accepted,300.0,1000.0,310504,BANDINI,909.7599803514302,3689.386129903266,7.610294323330248,False
306060,308471,31.79139949308128,202,accepted,300.0,1000.0,308806,MOBILOIL,365.2299319355559,27248.026763007274,31.79139949308128,False
306060,306450,10.258934494774529,68,accepted,300.0,1000.0,,,,,10.258934494774529,False
